Gene Clark,Tears of Rage
Crazy Horse,I Don't Want to Talk About It
Sir Douglas Quintet,At the Crossroads (Alternate Mix)
Karen Dalton,In My Own Dream
Matthews' Southern Comfort,Sylvie
Goose Creek Symphony,A Satisfied Mind
The Band,Whispering Pines (Remix / 2019)
Warren Zevon,Steady Rain
Ian Matthews,These Days (LP Version)
Link Wray,All Cried Out
Bob Dylan,Wigwam
Duane Allman,God Rest His Soul
Gregg Allman,If I'm Wrong (Shade Tree Demo)
Lynyrd Skynyrd,Black Night Woman
FJ McMahon,Willin'
Little Feat,Mr. Moon
Clover,Speak Your Mind
Marc Benno,Please Be with Me
Cowboy,Magnolia
J.J. Cale,Don't Let Me Down
